x y time dx dy dt dr^2 TotalDisplacementSquared
9.48679245283019 106 3.112 0.486792452830189 0 0.164 0.236966892132432 0.236966892132432
18
46 5 0 0 0 0 0 0
46 5 0.164 0 0 0.164 0 0
46 5 0.327 0 0 0.163 0 0
46 5 0.491 0 0 0.164 0 0
46 5 0.655 0 0 0.164 0 0
46 5 0.819 0 0 0.164 0 0
46 5 0.983 0 0 0.164 0 0
46 5 1.31 0 0 0.327 0 0
46 5 1.638 0 0 0.328 0 0
46 5 1.802 0 0 0.164 0 0
46 5 1.965 0 0 0.163 0 0
46 5 2.129 0 0 0.164 0 0
46 5 2.293 0 0 0.164 0 0
46 5 2.62 0 0 0.327 0 0
44 5 2.948 -2 0 0.328 4 4
44 5 3.112 0 0 0.164 0 4
43.5 5 3.276 -0.5 0 0.164 0.25 6.25
44 5 3.603 0.5 0 0.327 0.25 4
15
105 17 0 0 0 0 0 0
105 17 0.163 0 0 0.163 0 0
104.496240601504 17 0.327 -0.503759398496243 0 0.164 0.253773531573296 0.253773531573296
104.478260869565 17 0.491 -0.0179797319385386 0 0.164 0.000323270760581706 0.272211720226842
105 17 0.655 0.521739130434781 0 0.164 0.272211720226842 0
106 15 1.146 1 -2 0.491 5 5
106 15 1.31 0 0 0.164 0 5
106 15 1.474 0 0 0.164 0 5
106 15 1.637 0 0 0.163 0 5
107 16 1.801 1 1 0.164 2 5
107 16 1.965 0 0 0.164 0 5
107 16 2.129 0 0 0.164 0 5
107 16 2.293 0 0 0.164 0 5
106 15 2.456 -1 -1 0.163 2 5
106 15 2.62 0 0 0.164 0 5
23
110 0 0 0 0 0 0 0
110 0 0.164 0 0 0.164 0 0
110 0 0.327 0 0 0.163 0 0
